u,v,BD
8,26,0.9782698946887745
5,17,0.9782698946887745
11,35,0.9782698946887745
5,16,0.9782698946887747
11,34,0.9782698946887747
8,25,0.9782698946887747
5,18,0.9782698946887785
8,27,0.9782698946887785
11,36,0.9782698946887785
7,23,0.9782774115520346
10,32,0.9782774115520346
4,14,0.9782774115520346
10,33,0.9782774115520384
7,24,0.9782774115520384
4,15,0.9782774115520384
4,13,0.9782774115520386
7,22,0.9782774115520386
10,31,0.9782774115520386
9,30,0.9790584128625583
12,39,0.9790584128625583
6,21,0.9790584128625583
9,28,0.9790584128625586
12,37,0.9790584128625586
6,19,0.9790584128625586
6,20,0.979058412862559
12,38,0.979058412862559
9,29,0.979058412862559
2,7,1.8975372394863448
1,4,1.8975372394863448
3,10,1.8975372394863448
3,11,1.8975381490230945
1,5,1.8975381490230945
2,8,1.8975381490230945
1,6,1.8981640923638048
3,12,1.8981640923638048
2,9,1.8981640923638048
0,2,2.9301683209467364
0,1,2.930168320946737
0,3,2.9301683209467373
